period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
2,3,1,178,3,9490,1030102,goal,119960101,119960101_1
2,0,0,198,1,9490,1030095,miss,119960101,119960101_1
2,0,1,201,1,9490,1030095,goal,119960101,119960101_1
2,0,1,266,2,9492,1030565,goal,119960101,119960101_1
2,3,1,276,3,9492,1030565,goal,119960101,119960101_1
2,0,1,306,0,9490,1030102,goal,119960101,119960101_1
2,0,1,352,0,9492,1030565,goal,119960101,119960101_1
2,3,1,438,1,9490,1030102,goal,119960101,119960101_1
2,0,1,483,2,9490,1030102,goal,119960101,119960101_1
2,0,1,509,2,9490,1030102,goal,119960101,119960101_1
2,0,0,533,0,9492,1030574,miss,119960101,119960101_1
2,3,1,536,3,9492,1030565,goal,119960101,119960101_1
2,3,1,545,1,9490,1030095,goal,119960101,119960101_1
2,0,1,573,1,9492,1030565,goal,119960101,119960101_1
2,0,1,592,1,9490,1030095,goal,119960101,119960101_1
2,3,1,610,3,9492,1030565,goal,119960101,119960101_1
2,3,1,638,1,9490,1030095,goal,119960101,119960101_1
2,0,1,698,1,9490,1030095,goal,119960101,119960101_1
2,3,1,725,3,9490,1030095,goal,119960101,119960101_1
2,1,1,747,2,9492,1030574,goal,119960101,119960101_1
2,0,1,766,1,9492,1030565,goal,119960101,119960101_1
2,1,0,790,0,9492,1030574,miss,119960101,119960101_1
2,0,1,803,2,9490,1030102,goal,119960101,119960101_1
2,0,0,864,2,9492,1030562,miss,119960101,119960101_1
2,0,1,873,2,9492,1030574,goal,119960101,119960101_1
2,0,1,896,1,9490,1030095,goal,119960101,119960101_1
3,3,1,8,1,9490,1030104,goal,119960101,119960101_1
3,0,1,58,0,9492,1030571,goal,119960101,119960101_1
3,3,1,114,3,9490,1030096,goal,119960101,119960101_1
3,1,0,138,0,9492,1030571,miss,119960101,119960101_1
3,3,1,142,3,9492,1030562,goal,119960101,119960101_1
3,3,1,162,1,9490,1030104,goal,119960101,119960101_1
3,0,1,225,1,9490,1030104,goal,119960101,119960101_1
3,3,1,253,3,9490,1030104,goal,119960101,119960101_1
3,3,1,287,1,9490,1030096,goal,119960101,119960101_1
3,3,1,303,3,9490,1030104,goal,119960101,119960101_1
3,3,1,328,1,9492,1030564,goal,119960101,119960101_1
3,0,1,350,1,9490,1030104,goal,119960101,119960101_1
3,0,1,373,1,9490,1030104,goal,119960101,119960101_1
3,0,1,393,1,9490,1030104,goal,119960101,119960101_1
3,0,1,425,1,9490,1030104,goal,119960101,119960101_1
3,0,0,481,0,9492,1030565,miss,119960101,119960101_1
3,0,1,512,1,9490,1030104,goal,119960101,119960101_1
3,0,1,538,1,9490,1030104,goal,119960101,119960101_1
3,0,1,584,2,9490,1030104,goal,119960101,119960101_1
3,3,1,611,1,9492,1030565,goal,119960101,119960101_1
3,0,1,639,1,9492,1030565,goal,119960101,119960101_1
3,0,1,667,1,9492,1030571,goal,119960101,119960101_1
3,3,1,691,1,9490,1030104,goal,119960101,119960101_1
3,3,1,754,3,9490,1030096,goal,119960101,119960101_1
3,0,1,775,1,9490,1030104,goal,119960101,119960101_1
3,0,1,801,0,9490,1030096,goal,119960101,119960101_1
3,0,0,819,2,9492,1030565,miss,119960101,119960101_1
3,3,1,831,3,9490,1030096,goal,119960101,119960101_1
3,3,0,867,1,9492,1030565,miss,119960101,119960101_1
3,0,1,878,1,9490,1030104,goal,119960101,119960101_1
3,0,1,894,1,9490,1030104,goal,119960101,119960101_1
4,0,0,12,1,9492,1030568,miss,119960101,119960101_1
4,0,0,24,2,9492,1030568,miss,119960101,119960101_1
4,0,1,55,2,9490,1030104,goal,119960101,119960101_1
4,0,1,78,1,9490,1030104,goal,119960101,119960101_1
4,0,0,110,1,9492,1030574,miss,119960101,119960101_1
4,3,1,128,3,9490,1030096,goal,119960101,119960101_1
4,0,1,154,1,9490,1030104,goal,119960101,119960101_1
4,0,1,190,1,9490,1030104,goal,119960101,119960101_1
4,0,1,218,0,9490,1030096,goal,119960101,119960101_1
4,3,1,270,3,9490,1030104,goal,119960101,119960101_1
4,3,1,295,1,9490,1030096,goal,119960101,119960101_1
4,0,1,319,1,9492,1030568,goal,119960101,119960101_1
4,3,1,331,3,9490,1030096,goal,119960101,119960101_1
4,0,1,365,2,9492,1030568,goal,119960101,119960101_1
4,0,0,411,1,9490,1030096,miss,119960101,119960101_1
4,0,1,414,1,9490,1030104,goal,119960101,119960101_1
4,0,1,442,1,9492,1030574,goal,119960101,119960101_1
4,1,0,492,2,9492,1030574,miss,119960101,119960101_1
4,3,1,511,3,9490,1030104,goal,119960101,119960101_1
4,3,1,550,1,9490,1030102,goal,119960101,119960101_1
4,1,0,601,2,9492,1030574,miss,119960101,119960101_1
4,0,1,628,0,9492,1030568,goal,119960101,119960101_1
4,0,1,648,1,9492,1030568,goal,119960101,119960101_1
4,0,1,684,1,9490,1030096,goal,119960101,119960101_1
4,0,0,719,2,9490,1030102,miss,119960101,119960101_1
4,0,1,749,1,9492,1030562,goal,119960101,119960101_1
4,0,1,764,0,9490,1030102,goal,119960101,119960101_1
4,0,1,813,1,9490,1030096,goal,119960101,119960101_1
4,1,0,833,2,9490,1030102,miss,119960101,119960101_1
4,0,1,844,1,9490,1030096,goal,119960101,119960101_1
4,0,1,892,0,9492,1030562,goal,119960101,119960101_1
