id,name,regulationPeriodLength,regulationPeriods,rounds,season,extraTimePeriodLength,cleaned_name,league_season
12016,2022 FAST5 - World Netball Series Finals,360,4,1,2022,,FAST5 - World Netball Series Finals,FAST5 - World Netball Series Finals (2022)
12045,2023 Super Netball,900,4,14,2023,,Super Netball,Super Netball (2023)
12046,2023 Super Netball Finals,900,4,3,2023,,Super Netball Finals,Super Netball Finals (2023)
12055,Fast5 Mens 2022,360,4,1,2022,,Fast5 Mens,Fast5 Mens (2022)
12056,Fast5 Mens Final 2022,360,4,1,2022,,Fast5 Mens Final,Fast5 Mens Final (2022)
12065,Diamond Challenge 2022,900,4,4,2022,,Diamond Challenge,Diamond Challenge (2022)
12066,Netball South Africa President XII,600,4,1,2022,,Netball South Africa President XII,Netball South Africa President XII (2022)
12067,2023 Telstra NRL Premiership,2400,2,27,2023,,Telstra NRL Premiership,Telstra NRL Premiership (2023)
12068,2023 Telstra NRL Finals,2400,2,4,2023,,Telstra NRL Finals,Telstra NRL Finals (2023)
12085,2023 January Netball Quad Series,900,4,4,2023,,January Netball Quad Series,January Netball Quad Series (2023)
12117,2023 January Netball Quad Series Finals,900,4,1,2023,,January Netball Quad Series Finals,January Netball Quad Series Finals (2023)
12115,NWC Preliminaries Stage 1 and 2,900,4,7,2023,,NWC Preliminaries Stage 1 and 2,NWC Preliminaries Stage 1 and 2 (2023)
12116,NWC Play-offs and Placings,900,4,5,2023,,NWC Play-offs and Placings,NWC Play-offs and Placings (2023)
12168,Quad Supersport testing,900,4,1,2023,,Quad Supersport testing,Quad Supersport testing (2023)
12105,2023 National Netball League,900,4,9,2023,,National Netball League,National Netball League (2023)
12106,2023 National Netball League,900,4,1,2023,,National Netball League,National Netball League (2023)
12195,2023 All Stars,2400,2,1,2023,,All Stars,All Stars (2023)
12206,2023 State of Origin,2400,2,1,2023,,State of Origin,State of Origin (2023)
12125,2023 #TeamGirls Cup A,600,4,3,2023,,#TeamGirls Cup A,#TeamGirls Cup A (2023)
12205,2023 #TeamGirls Cup B,600,4,3,2023,,#TeamGirls Cup B,#TeamGirls Cup B (2023)
12126,2023 #TeamGirls Cup Finals,600,4,1,2023,,#TeamGirls Cup Finals,#TeamGirls Cup Finals (2023)
12285,2023 NRLW,2400,2,9,2023,,NRLW,NRLW (2023)
12286,2023 NRLW Finals,2400,2,2,2023,,NRLW Finals,NRLW Finals (2023)
12287,2023 State of Origin Womens,2400,2,1,2023,,State of Origin Womens,State of Origin Womens (2023)
12305,2023 Taini Jamison Trophy,900,4,1,2023,,Taini Jamison Trophy,Taini Jamison Trophy (2023)
12316,NWC 2023 Testing,900,4,3,2023,,NWC  Testing,NWC  Testing (2023)
12326,2023 Australian Netball Championships,900,4,5,2023,,Australian Netball Championships,Australian Netball Championships (2023)
12327,2023 Australian Netball Championships Finals,900,4,2,2023,,Australian Netball Championships Finals,Australian Netball Championships Finals (2023)
12365,2023 Netball NZ Open Champs,900,4,4,2023,,Netball NZ Open Champs,Netball NZ Open Champs (2023)
12355,2023 Australia Men's v NZ,900,4,1,2023,,Australia Men's v NZ,Australia Men's v NZ (2023)
12255,2023 Constellation Cup,900,4,1,2023,,Constellation Cup,Constellation Cup (2023)
12356,2023 Australia v South Africa,900,4,1,2023,,Australia v South Africa,Australia v South Africa (2023)
