tries,runsDummyHalfMetres,sinBins,onReports,runsHitupMetres,tryAssists,penaltyGoalAttempts,points,conversionsUnsuccessful,possessions,tackleds,kickMetres,kicksGeneralPlay,tackles,tacklesIneffective,handlingErrors,sentOffs,runsDummyHalf,squadId,offloads,bombKicksCaught,runsKickReturn,runsHitup,fieldGoalAttempts,conversionAttempts,penaltiesConceded,postContactMetres,position,errors,goalLineDropouts,fortyTwenty,conversions,tryDebits,missedTackles,penaltyGoalsUnsuccessful,kicksCaught,metresGained,lineBreaks,tackleBreaks,trySaves,passes,runMetres,fieldGoalsUnsuccessful,lineBreakAssists,runsNormalMetres,runsNormal,runsKickReturnMetres,playerId,jumperNumber,fieldGoals,penaltyGoals,runs,shortDisplayName,firstname,surname,displayName,squadName,homeId,awayId,opponent,round,fixtureId,sportId,matchId
0,0,0,0,0,0,0,0,0,40,7,59,12,9,0,0,0,0,8566,0,0,1,0,0,0,0,0,Halfback,0,1,0,0,0,0,0,1,59,1,1,0,21,0,0,0,0,7,0,31881,7,0,0,8,"Hughes, J",Jahrome,Hughes,J.Hughes,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,6,6,0,0,16,1,0,0,0,8566,0,0,1,5,0,0,0,0,Interchange,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,995877,8,0,0,6,"Hunt, R",Royce,Hunt,R.Hunt,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,89,8,0,1,19,3,0,0,10,8566,0,0,0,0,0,0,0,0,Hooker,0,0,0,0,0,1,0,0,0,0,4,0,80,0,0,0,0,0,0,999917,9,0,0,10,"Smith, B",Brandon,Smith,B.Smith,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,13,11,0,0,23,1,0,0,0,8566,0,0,1,10,0,0,1,6,Prop,0,0,0,0,0,0,0,0,13,1,3,0,2,13,0,0,0,0,13,1025374,10,0,0,11,"Thompson, L",Leo,Thompson,L.Thompson,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,5,5,0,0,30,2,0,0,0,8566,0,0,0,3,0,0,1,0,Second Row,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1009175,11,0,0,5,"Nikora, B",Briton,Nikora,B.Nikora,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,8,0,0,0,0,10,7,0,0,15,1,0,0,0,8566,0,0,0,7,0,0,0,4,Second Row,0,0,0,0,0,0,0,0,8,0,0,0,3,8,0,0,0,0,0,31804,12,0,0,7,"Bromwich, K",Kenny,Bromwich,K.Bromwich,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
1,0,0,0,42,0,0,4,0,19,11,0,0,29,0,0,0,0,8566,1,0,0,13,0,0,0,4,Lock,1,0,0,0,0,0,0,0,42,1,6,1,5,42,0,1,0,1,0,991497,13,0,0,14,"Tapine, J",Joseph,Tapine,J.Tapine,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,1,0,0,0,43,5,0,0,18,3,0,0,4,8566,1,0,0,1,0,0,0,0,Interchange,0,0,0,0,0,2,0,0,0,0,1,0,37,0,0,1,0,1,0,996341,14,0,0,6,"Tevaga, J",Jazz,Tevaga,J.Tevaga,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,9,9,0,0,22,0,0,0,0,8566,0,0,0,9,0,0,0,0,Interchange,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1024169,15,0,0,10,"Mooney, T",Trey,Mooney,T.Mooney,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
1,0,0,0,10,0,0,4,0,9,7,0,0,13,1,0,0,0,8566,0,0,0,7,0,0,0,2,Prop,0,0,0,0,0,0,0,0,10,1,3,0,1,10,0,0,0,1,0,1024167,16,0,0,8,"Willison, X",Xavier,Willison,X.Willison,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,31,7,0,3,11,3,0,0,1,8566,1,0,0,4,0,0,0,0,Interchange,2,0,0,0,0,3,0,0,0,0,2,0,18,0,0,0,0,5,0,990750,17,0,0,10,"Walker, D",Dylan,Walker,D.Walker,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,32,6,0,2,7,1,0,0,0,8566,0,1,2,0,0,0,0,0,Interchange,2,0,0,0,0,0,0,2,0,0,2,0,22,0,0,0,0,4,0,996043,18,0,0,6,"Martin, T",Te Maire,Martin,T.Martin,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,11,9,0,0,11,2,0,0,0,8566,0,0,0,9,0,0,1,0,Interchange,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1021753,19,0,0,9,"Howarth, J",Jack,Howarth,J.Howarth,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
0,0,0,0,0,0,0,0,0,7,6,0,0,10,1,0,0,0,8566,0,0,0,6,0,0,0,0,Interchange,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1018096,20,0,0,6,"Palasia, K",Keenan,Palasia,K.Palasia,Maori All-Stars,340,8566,Indigenous All-Stars,1,12457,3,124570101
